,UCLA Status,Custom field (UID Number),Mifi,CLICC ChromeBook,CLICC HP Laptop,CLICC MacBook,ITS MacBook,ITS Touchscreen Laptop,ITS Windows Laptop,ITS iPad
0,Faculty/Instructor,002556182,0,0,0,0,0,0,1,0
1,Faculty/Instructor,005647080,1,0,0,1,0,0,0,0
2,Faculty/Instructor,102743819,1,0,0,0,0,0,0,0
3,Faculty/Instructor,102747898,0,0,0,0,0,0,0,0
4,Faculty/Instructor,105657196,0,0,0,0,1,0,0,0
5,Faculty/Instructor,204761580,0,0,0,0,0,0,0,1
6,Faculty/Instructor,205216027,1,0,0,0,1,0,0,0
7,Faculty/Instructor,205226719,0,0,0,0,0,0,0,1
8,Faculty/Instructor,302896613,1,0,0,0,0,0,0,0
9,Faculty/Instructor,304105676,1,0,0,0,0,0,0,0
10,Faculty/Instructor,305033471,1,0,0,0,0,0,0,0
11,Faculty/Instructor,401797331,1,0,0,0,0,0,0,0
12,Faculty/Instructor,402878784,0,0,0,0,0,0,1,0
13,Faculty/Instructor,404360223,0,0,0,0,0,0,0,1
14,Faculty/Instructor,405628391,0,0,0,0,0,0,0,1
15,Faculty/Instructor,503159886,0,0,0,0,1,0,0,0
16,Faculty/Instructor,600472233,0,0,0,0,0,0,0,1
17,Faculty/Instructor,602870433,1,0,0,0,0,0,0,0
18,Faculty/Instructor,603429557,1,0,0,0,0,0,0,0
19,Faculty/Instructor,604591029,0,0,0,0,1,0,0,0
20,Faculty/Instructor,700519857,0,0,0,0,1,0,0,0
21,Faculty/Instructor,704493472,0,0,0,0,1,0,0,0
22,Faculty/Instructor,705656429,0,0,0,0,0,0,0,1
23,Faculty/Instructor,804945765,1,0,0,0,0,0,0,0
24,Faculty/Instructor,805267052,0,0,0,0,0,0,0,1
25,Faculty/Instructor,805268565,0,0,0,0,0,0,0,1
26,Faculty/Instructor,902525515,1,0,0,0,0,0,1,0
27,Faculty/Instructor,903322927,1,0,0,0,0,0,0,0
28,Faculty/Instructor,905224260,0,0,0,0,1,0,0,0
29,Graduate,003386297,1,0,0,0,0,0,1,0
30,Graduate,003488658,1,0,0,0,0,0,1,0
31,Graduate,003737993,1,0,0,0,0,0,0,0
32,Graduate,004212084,1,0,0,0,0,0,1,0
33,Graduate,004422261,0,0,0,0,0,0,0,1
34,Graduate,004483872,1,0,0,0,0,0,0,0
35,Graduate,004486955,1,0,0,0,0,0,0,0
36,Graduate,004515726,0,0,0,0,0,0,0,1
37,Graduate,004605487,1,0,0,0,0,0,0,0
38,Graduate,004616909,1,0,0,0,1,0,0,0
39,Graduate,004674466,0,0,0,0,0,0,1,0
40,Graduate,004776356,1,0,0,0,0,0,0,0
41,Graduate,0047763562,0,0,0,0,0,0,1,0
42,Graduate,004778063,0,0,0,0,0,0,0,1
43,Graduate,004854938,1,0,0,0,1,0,0,1
44,Graduate,004873531,0,0,0,0,0,0,0,1
45,Graduate,004943713,0,0,0,0,0,0,0,1
46,Graduate,004963466,0,0,0,0,0,0,0,1
47,Graduate,005025076,0,0,0,0,0,1,0,0
48,Graduate,005037338,0,0,0,1,0,0,0,0
49,Graduate,005220011,0,0,0,0,0,0,1,0
50,Graduate,005224603,0,0,0,0,0,0,1,0
51,Graduate,005226032,1,0,0,0,0,0,0,1
52,Graduate,005230053,0,0,0,0,0,0,0,1
53,Graduate,005253860,1,0,0,0,0,0,0,0
54,Graduate,005263656,1,0,0,0,1,0,0,0
55,Graduate,005267918,1,0,0,0,0,0,0,0
56,Graduate,005277521,0,0,0,0,0,0,1,0
57,Graduate,005279068,1,0,0,1,0,0,0,0
58,Graduate,005315820,0,0,0,0,0,0,1,0
59,Graduate,005322873,1,0,0,0,0,0,1,0
60,Graduate,005331938,1,0,0,1,0,0,0,1
61,Graduate,005351276,0,0,0,0,0,0,0,1
62,Graduate,005427375,1,0,0,0,0,0,0,0
63,Graduate,005427733,0,0,0,0,0,0,0,1
64,Graduate,005428723,0,0,0,1,0,0,0,0
65,Graduate,005429195,0,0,0,0,0,0,1,0
66,Graduate,005430387,0,0,0,0,0,1,0,0
67,Graduate,005436662,1,0,0,0,0,0,0,0
68,Graduate,005441951,1,0,0,0,0,0,1,0
69,Graduate,005466507,0,0,0,0,1,0,0,0
70,Graduate,005478039,1,0,0,0,1,0,0,0
71,Graduate,005478341,1,0,0,0,0,0,0,0
72,Graduate,005496533,0,0,0,0,0,0,1,0
73,Graduate,005524263,1,0,0,0,0,0,0,0
74,Graduate,005524786,0,0,0,0,0,0,0,1
75,Graduate,005527515,1,0,0,0,0,0,0,0
76,Graduate,005527577,0,0,0,0,0,1,0,0
77,Graduate,005628977,0,0,0,1,0,0,0,0
78,Graduate,005629482,1,0,0,0,1,0,0,0
79,Graduate,100562603,0,1,0,0,0,0,0,0
80,Graduate,103157262,1,0,0,1,1,0,0,0
81,Graduate,103816937,1,0,0,0,0,0,0,0
82,Graduate,103849419,1,0,0,0,0,0,0,0
83,Graduate,103909465,1,0,0,0,0,0,0,0
84,Graduate,104173218,0,0,0,0,1,0,0,0
85,Graduate,104490136,0,0,0,0,0,0,1,0
86,Graduate,104674239,1,0,0,0,0,0,0,0
87,Graduate,104685006,0,0,0,0,0,0,0,1
88,Graduate,104705561,0,0,0,0,0,0,1,0
89,Graduate,104722396,1,0,0,0,0,0,0,0
90,Graduate,104864748,1,0,0,0,0,0,0,0
91,Graduate,104865941,1,0,0,0,0,0,0,0
92,Graduate,104870216,1,0,0,0,0,0,0,0
93,Graduate,105037644,0,0,0,0,0,0,1,0
94,Graduate,105080072,1,0,0,0,0,0,0,0
95,Graduate,105092414,1,0,0,0,0,0,0,0
96,Graduate,105216971,1,0,0,0,0,0,0,0
97,Graduate,105227776,1,0,0,0,0,0,0,0
98,Graduate,105249226,1,0,0,0,0,0,0,0
99,Graduate,105262680,0,0,0,0,0,0,1,0
100,Graduate,105276149,0,0,0,0,1,0,0,0
101,Graduate,105294134,1,0,0,0,0,0,0,0
102,Graduate,105294332,0,0,0,0,0,0,0,1
103,Graduate,105331476,0,0,0,0,0,0,1,0
104,Graduate,105349264,1,0,0,0,0,0,0,0
105,Graduate,105430103,0,0,0,0,1,0,0,0
106,Graduate,105430400,0,0,1,0,0,0,0,0
107,Graduate,105432035,1,0,0,0,0,0,0,0
108,Graduate,105436727,1,0,0,0,0,0,1,0
109,Graduate,105442115,1,0,0,0,0,0,0,0
110,Graduate,105442752,0,1,0,0,0,0,0,0
111,Graduate,105457625,0,0,0,0,0,0,1,0
112,Graduate,105498800,0,0,0,0,0,1,0,0
113,Graduate,105507989,0,0,0,0,0,0,0,1
114,Graduate,105515239,0,0,0,0,0,1,0,1
115,Graduate,105524583,0,0,0,0,0,0,0,1
116,Graduate,105527195,0,0,0,0,0,0,0,1
117,Graduate,105527341,0,0,0,0,1,0,0,0
118,Graduate,105528406,1,0,0,0,0,0,0,0
119,Graduate,105636892,1,1,0,0,0,0,0,0
120,Graduate,105637863,1,1,0,0,0,0,0,0
121,Graduate,105649187,0,0,0,0,0,0,1,0
122,Graduate,105653283,1,0,0,0,0,0,1,0
123,Graduate,201532529,1,0,0,0,0,0,0,0
124,Graduate,203367839,1,0,0,0,0,0,0,0
125,Graduate,203831975,0,0,0,0,1,0,0,0
126,Graduate,204013880,1,0,0,0,0,0,0,0
127,Graduate,204138314,1,0,0,0,1,0,0,1
128,Graduate,204218457,0,0,0,0,0,1,0,0
129,Graduate,204280859,0,0,0,0,0,0,0,1
130,Graduate,204292131,1,0,0,0,0,0,0,0
131,Graduate,204381801,1,0,0,0,0,0,0,0
132,Graduate,204591578,0,0,0,0,0,0,1,0
133,Graduate,204608545,0,0,0,0,0,0,0,1
134,Graduate,204677020,1,0,0,0,0,0,0,0
135,Graduate,204684474,0,0,0,0,0,1,0,0
136,Graduate,204684997,0,0,0,0,0,1,0,0
137,Graduate,204737651,0,0,0,0,0,1,0,0
138,Graduate,204760397,0,0,0,0,0,0,0,1
139,Graduate,204786552,0,0,0,0,0,0,1,0
140,Graduate,204814767,1,0,0,1,0,0,0,0
141,Graduate,204961367,1,0,0,0,1,0,0,0
142,Graduate,205024368,0,0,0,0,0,0,1,0
143,Graduate,205046884,1,0,0,0,0,0,0,0
144,Graduate,205061412,0,0,0,0,0,0,1,0
145,Graduate,205080236,1,0,0,0,0,1,0,0
146,Graduate,205219200,0,0,0,0,1,0,0,0
147,Graduate,205225220,0,0,0,0,1,0,0,0
148,Graduate,205226408,0,0,0,0,0,0,0,1
149,Graduate,205233418,1,0,0,0,0,0,0,0
150,Graduate,205242069,1,0,0,0,0,0,0,0
151,Graduate,205278459,0,0,0,0,1,0,0,0
152,Graduate,205278713,1,0,0,0,0,0,0,0
153,Graduate,205279208,1,0,0,0,0,0,0,0
154,Graduate,205283521,1,0,0,0,0,0,0,0
155,Graduate,205288712,1,0,0,0,0,0,0,0
156,Graduate,205351874,1,0,0,0,0,0,0,0
